Root Name,Search Term,PMID,Title,Article Type,Publication Year,PubMed URL
Patchouli,Patchouli,40219102,Unlocking the Therapeutic Potential of Patchouli Leaves: A Comprehensive Review of Phytochemical and Pharmacological Insights.,Journal Article; Review,2025,https://pubmed.ncbi.nlm.nih.gov/40219102/
Patchouli,Patchouli,39511253,Comparative toxicity of three variant oils and their nanoemulsions on the brown dog tick Rhipicephalus sanguineus.,Journal Article; Comparative Study,2024,https://pubmed.ncbi.nlm.nih.gov/39511253/
Patchouli,Patchouli,38708994,Unveiling the phyto-restorative potential of ethereal distillates for atopic dermatitis: an advanced therapeutic approach.,Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/38708994/
Patchouli,Patchouli,38623714,Unlocking liver health: Can tackling myosteatosis spark remission in metabolic dysfunction-associated steatotic liver disease?,Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/38623714/
Patchouli,Patchouli,38504994,The critical role of toll-like receptor 4 in bone remodeling of osteoporosis: from inflammation recognition to immunity.,"Journal Article; Review; Research Support, Non-U.S. Gov't",2024,https://pubmed.ncbi.nlm.nih.gov/38504994/
Patchouli,Patchouli,38358844,Sniffing Out the Sustainable Future: The Renewability Revolution in Fragrance Chemistry.,Journal Article; Review,2024,https://pubmed.ncbi.nlm.nih.gov/38358844/
Patchouli,Patchouli,37920320,Plant-Derived Antioxidants for Management of COVID-19: A Comprehensive Review of Molecular Mechanisms.,Journal Article; Review,2023,https://pubmed.ncbi.nlm.nih.gov/37920320/
Patchouli,Patchouli,37110702,A Comprehensive Review on Pharmacological Activities of Pachypodol: A Bioactive Compound of an Aromatic Medicinal Plant Pogostemon Cablin Benth.,Journal Article; Review,2023,https://pubmed.ncbi.nlm.nih.gov/37110702/
Patchouli,Patchouli,36878051,Therapeutic potential of natural molecules against Alzheimer's disease via SIRT1 modulation.,Journal Article; Review,2023,https://pubmed.ncbi.nlm.nih.gov/36878051/
Patchouli,Patchouli,36511100,Therapeutic potential of <i>Pogostemon cablin</i> herb: a comprehensive review.,Journal Article; Review,2022,https://pubmed.ncbi.nlm.nih.gov/36511100/
Patchouli,Patchouli,36212991,Insecticidal activity <i>in vitro</i> of the essential oil of <i>Pogostemon cablin</i> against <i>Ctenocephalides felis felis</i>.,Case Reports; Journal Article,2022,https://pubmed.ncbi.nlm.nih.gov/36212991/
